input,expected
ᨠᩫ᩠᩶ᨶᩉ᩠ᩅ᩠᩶ᨿ,ᨠᩫ᩠᩶ᨶᩉ᩠ᩅ᩠᩶ᨿ
ᨠᩫ᩠ᩅ,ᨠ᩠ᩅᩫ
ᨠᩕᨧᩯᨡᩣᩴ,ᨠᩕᨧᩯᨡᩣᩴ
ᨠᩬ᩠᩶ᨿ,ᨠᩬ᩠᩶ᨿ
ᨠ᩶ᩬ᩠ᨿ,ᨠᩬ᩠᩶ᨿ
ᨠᩮ᩠᩶ᨿ,ᨠᩮ᩠᩶ᨿ
ᨠᩯ᩠᩶ᩅ,ᨠᩯ᩠᩶ᩅ
ᨠ᩠᩶ᨿᨾ,ᨠ᩠ᨿ᩶ᨾ
ᨠ᩠ᩃᩫ᩠ᩅ,ᨠ᩠ᩃ᩠ᩅᩫ
ᨠ᩠ᩃ᩠᩶ᨿᨦ,ᨠ᩠ᩃ᩠ᨿ᩶ᨦ
ᨠ᩠ᩃ᩠ᩅ᩠ᨿ᩶,ᨠ᩠ᩃ᩠ᩅ᩠᩶ᨿ
ᨠ᩠ᩃ᩠᩶ᩅ᩠ᨿ,ᨠ᩠ᩃ᩠ᩅ᩠᩶ᨿ
ᨣᩕᩣ,ᨣᩕᩤ
ᨣ᩵ᩣ᩠ᨶ,ᨣ᩵ᩤ᩠ᨶ
ᨣᩣ᩠ᨿ,ᨣᩤ᩠ᨿ
ᨣ᩠ᨶᩣ᩠ᨷ,ᨣ᩠ᨶᩤ᩠ᨷ
ᨣ᩠ᩃᩣ᩠ᨷ,ᨣ᩠ᩃᩣ᩠ᨷ
ᨤ᩠ᩅᩣ᩠ᨿ,ᨤ᩠ᩅᩣ᩠ᨿ
ᨯᩴᩬ,ᨯᩬᩴ
ᨲᩮ᩠ᨿ᩶,ᨲᩮ᩠᩶ᨿ
ᨳᩫ᩠᩵ᩅ,ᨳ᩠ᩅᩫ᩵
ᨴᩴᩣ,ᨴᩤᩴ
ᨴᩴᩤ,ᨴᩤᩴ
ᨴᩴᩤ,ᨴᩤᩴ
ᨴ᩶ᩣ᩠ᨶ,ᨴ᩶ᩤ᩠ᨶ
ᨴᩣ᩠ᨿ,ᨴᩤ᩠ᨿ
ᨴ᩠᩵ᨿᩅ,ᨴ᩠ᨿ᩵ᩅ
ᨶ᩶ᩣᩴ,ᨶᩣᩴ᩶
ᨾᩮᩥᩬᨦ,ᨾᩮᩬᩥᨦ
ᩃᩴᩣ,ᩃᩣᩴ
ᩃᩴ᩶ᩣ,ᩃᩣᩴ᩶
ᩃ᩠᩶ᨿᩅ,ᩃ᩠ᨿ᩶ᩅ
ᩅᩤᩴ᩶,ᩅᩤᩴ᩶
ᩅ᩵ᩣ,ᩅ᩵ᩤ
ᩅ᩵ᩣ᩠ᨦ,ᩅ᩵ᩤ᩠ᨦ
ᩉᩴ᩵ᩬ,ᩉᩬᩴ᩵
ᩉ᩠ᨶ᩠᩵ᨿᩅ,ᩉ᩠ᨶ᩠ᨿ᩵ᩅ
ᩉ᩠᩵ᨿᩅ,ᩉ᩠ᨿ᩵ᩅ
ᩉ᩠ᩃ᩠᩵ᨿᨾ,ᩉ᩠ᩃ᩠ᨿ᩵ᨾ
ᩉ᩠᩵ᩅᩣ᩠ᨦᨯᩬ᩠ᨿ,ᩉ᩠ᩅ᩵ᩣ᩠ᨦᨯᩬ᩠ᨿ
ᩉ᩠ᩅ᩵ᩣ᩠ᨦ,ᩉ᩠ᩅ᩵ᩣ᩠ᨦ
ᩮᨠ,ᨠᩮ
ᩮᨻᩕ᩶,ᨻᩕᩮ᩶
ᩯᨧ᩠ᨠ,ᨧᩯ᩠ᨠ
ᩱᨩ᩠ᨿ,ᨩᩱ᩠ᨿ
